Dog Names,Nature,Height,Weight,Life Span,Affectionate With Family,Good With Young Children,Good With Other Dogs,Colour,Shedding Level,Coat Grooming Frequency,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Breed Popularity Ranking in India
afghan_hound,Friendly,Large,Heavy,9-11 years,Aloof,Not Child-Friendly,Selective,Various,Moderate,Moderate,Straight,Medium,Very Friendly,Moderate,Indifferent,Highly Adaptable,Willing,Active,Excessive Barker,Moderate,100
african_hunting_dog,Loyal,Medium,Light,12-14 years,Aloof,Moderate,Aggressive,Golden,Heavy,Moderate,Curly,Medium,Approachable,Very Playful,Indifferent,Highly Adaptable,Highly Trainable,Low Energy,Moderate Barker,High Needs,30
airedale,Independent,Small,Heavy,13-15 years,Loving,Kid-Friendly,Sociable,Golden,High,Moderate,Thick,Medium,Cautious,Relaxed,Moderate,Low Adaptability,Independent,Low Energy,Rarely Barks,Moderate,3
basenji,Energetic,Medium,Heavy,10-12 years,Reserved,Not Child-Friendly,Sociable,Golden,High,Moderate,Short,Long,Approachable,Relaxed,Protective,Rigid,Independent,Hyperactive,Quiet,High Needs,52
basset,Energetic,Medium,Heavy,12-14 years,Aloof,Very Kid-Friendly,Sociable,White,High,Moderate,Thick,Medium,Very Friendly,Moderate,Indifferent,Adaptable,Stubborn,Moderate Energy,Excessive Barker,Engaged,67
beagle,Independent,Large,Medium,9-11 years,Friendly,Kid-Friendly,Selective,Brown,Low,Very High,Curly,Medium,Wary,Relaxed,Protective,Highly Adaptable,Willing,Low Energy,Excessive Barker,Low Needs,76
bedlington_terrier,Energetic,Large,Light,12-14 years,Aloof,Tolerant,Pack-Friendly,White,High,High,Curly,Medium,Very Friendly,Moderate,Protective,Rigid,Independent,Active,Frequent Barker,Relaxed,82
bernese_mountain_dog,Friendly,Medium,Light,10-12 years,Loving,Not Child-Friendly,Aggressive,Brown,Low,Moderate,Wavy,Long,Reserved,Very Playful,Moderate,Low Adaptability,Willing,Moderate Energy,Quiet,High Needs,67
black-and-tan_coonhound,Loyal,Medium,Heavy,10-12 years,Aloof,Moderate,Aggressive,Black,Moderate,Moderate,Thick,Short,Approachable,Relaxed,Protective,Highly Adaptable,Trainable,Low Energy,Excessive Barker,Moderate,67
blenheim_spaniel,Gentle,Medium,Medium,10-12 years,Reserved,Moderate,Pack-Friendly,Brown,Heavy,Moderate,Thick,Long,Reserved,Relaxed,Alert,Adaptable,Stubborn,Calm,Rarely Barks,Moderate,16
bloodhound,Energetic,Large,Heavy,9-11 years,Aloof,Kid-Friendly,Sociable,Golden,Moderate,Low,Short,Long,Cautious,Moderate,Protective,Rigid,Stubborn,Active,Rarely Barks,High Needs,44
bluetick,Energetic,Small,Light,13-15 years,Aloof,Tolerant,Neutral,Brown,High,High,Straight,Medium,Very Friendly,Relaxed,Alert,Low Adaptability,Stubborn,Low Energy,Rarely Barks,Moderate,87
border_collie,Energetic,Medium,Light,10-12 years,Neutral,Very Kid-Friendly,Neutral,Golden,Low,Very High,Wavy,Long,Very Friendly,Relaxed,Highly Protective,Rigid,Highly Trainable,Active,Excessive Barker,Relaxed,24
border_terrier,Independent,Medium,Light,10-12 years,Aloof,Not Child-Friendly,Pack-Friendly,Various,Low,Moderate,Straight,Medium,Very Friendly,Very Playful,Moderate,Moderate Adaptability,Stubborn,Active,Rarely Barks,Moderate,45
borzoi,Energetic,Medium,Heavy,9-11 years,Aloof,Not Child-Friendly,Pack-Friendly,White,High,Moderate,Thick,Long,Wary,Relaxed,Indifferent,Low Adaptability,Stubborn,Active,Moderate Barker,Engaged,45
boston_bull,Independent,Medium,Light,8-10 years,Neutral,Kid-Friendly,Sociable,Black,Low,Moderate,Thick,Medium,Reserved,Active,Highly Protective,Moderate Adaptability,Stubborn,Active,Rarely Barks,Engaged,90
bouvier_des_flandres,Gentle,Large,Heavy,9-11 years,Friendly,Kid-Friendly,Neutral,Golden,Minimal,Moderate,Thick,Medium,Wary,Sedentary,Protective,Low Adaptability,Independent,Calm,Frequent Barker,Engaged,23
brabancon_griffon,Gentle,Large,Light,13-15 years,Aloof,Kid-Friendly,Pack-Friendly,Golden,Minimal,Moderate,Short,Long,Wary,Moderate,Protective,Highly Adaptable,Willing,Hyperactive,Excessive Barker,High Needs,56
bull_mastiff,Gentle,Medium,Heavy,13-15 years,Neutral,Kid-Friendly,Neutral,Golden,Moderate,High,Thick,Medium,Very Friendly,Sedentary,Protective,Highly Adaptable,Willing,Hyperactive,Frequent Barker,Low Needs,63
cairn,Independent,Small,Light,13-15 years,Reserved,Not Child-Friendly,Neutral,Black,Heavy,Very High,Wavy,Short,Wary,Relaxed,Highly Protective,Rigid,Highly Trainable,Moderate Energy,Quiet,High Needs,100
cardigan,Independent,Small,Heavy,13-15 years,Neutral,Not Child-Friendly,Neutral,Various,Heavy,Low,Short,Short,Wary,Relaxed,Alert,Adaptable,Highly Trainable,Calm,Excessive Barker,Relaxed,82
chesapeake_bay_retriever,Energetic,Medium,Heavy,10-12 years,Friendly,Not Child-Friendly,Aggressive,Black,Low,Moderate,Straight,Medium,Reserved,Relaxed,Moderate,Low Adaptability,Willing,Active,Excessive Barker,High Needs,100
chow,Independent,Large,Light,8-10 years,Reserved,Not Child-Friendly,Aggressive,White,Heavy,Moderate,Short,Medium,Very Friendly,Very Playful,Indifferent,Low Adaptability,Highly Trainable,Calm,Rarely Barks,Low Needs,86
clumber,Loyal,Large,Medium,9-11 years,Reserved,Very Kid-Friendly,Aggressive,Golden,Heavy,Very High,Wavy,Medium,Reserved,Moderate,Protective,Rigid,Willing,Calm,Moderate Barker,Low Needs,31
cocker_spaniel,Gentle,Large,Light,8-10 years,Friendly,Very Kid-Friendly,Sociable,White,Low,Moderate,Curly,Long,Reserved,Relaxed,Protective,Highly Adaptable,Highly Trainable,Active,Excessive Barker,High Needs,65
collie,Loyal,Medium,Medium,8-10 years,Friendly,Not Child-Friendly,Pack-Friendly,Various,Low,Moderate,Short,Long,Cautious,Moderate,Protective,Rigid,Stubborn,Moderate Energy,Rarely Barks,Low Needs,66
curly-coated_retriever,Energetic,Medium,Light,10-12 years,Loving,Very Kid-Friendly,Selective,Various,Low,High,Straight,Long,Very Friendly,Sedentary,Highly Protective,Highly Adaptable,Willing,Calm,Excessive Barker,Relaxed,87
dhole,Energetic,Medium,Heavy,10-12 years,Aloof,Very Kid-Friendly,Selective,Brown,Low,Moderate,Curly,Medium,Cautious,Active,Indifferent,Moderate Adaptability,Highly Trainable,Active,Quiet,Low Needs,21
dingo,Independent,Small,Light,9-11 years,Reserved,Very Kid-Friendly,Aggressive,Black,Low,High,Straight,Long,Very Friendly,Moderate,Protective,Adaptable,Highly Trainable,Moderate Energy,Quiet,High Needs,16
doberman,Loyal,Small,Light,9-11 years,Friendly,Very Kid-Friendly,Sociable,Various,High,High,Curly,Long,Wary,Moderate,Protective,Adaptable,Trainable,Active,Moderate Barker,Engaged,16
english_foxhound,Gentle,Medium,Heavy,13-15 years,Friendly,Very Kid-Friendly,Pack-Friendly,Black,Heavy,Moderate,Short,Long,Reserved,Very Playful,Protective,Moderate Adaptability,Independent,Hyperactive,Frequent Barker,Engaged,64
english_setter,Independent,Small,Medium,8-10 years,Neutral,Very Kid-Friendly,Pack-Friendly,Various,High,Low,Curly,Short,Reserved,Active,Alert,Rigid,Independent,Hyperactive,Frequent Barker,Relaxed,71
entlebucher,Independent,Medium,Heavy,13-15 years,Friendly,Very Kid-Friendly,Neutral,Black,Low,Moderate,Wavy,Medium,Cautious,Active,Moderate,Highly Adaptable,Highly Trainable,Calm,Quiet,Moderate,98
flat-coated_retriever,Friendly,Medium,Light,10-12 years,Aloof,Moderate,Sociable,Black,High,High,Short,Short,Reserved,Moderate,Highly Protective,Moderate Adaptability,Independent,Low Energy,Excessive Barker,Engaged,21
german_shepherd,Gentle,Small,Medium,13-15 years,Friendly,Very Kid-Friendly,Sociable,Brown,Moderate,Moderate,Straight,Medium,Approachable,Moderate,Alert,Highly Adaptable,Stubborn,Moderate Energy,Moderate Barker,Moderate,23
german_short-haired_pointer,Friendly,Small,Heavy,8-10 years,Loving,Kid-Friendly,Aggressive,Brown,Heavy,Low,Short,Medium,Approachable,Active,Highly Protective,Moderate Adaptability,Independent,Calm,Quiet,High Needs,27
golden_retriever,Energetic,Medium,Heavy,13-15 years,Friendly,Kid-Friendly,Pack-Friendly,Brown,Minimal,Very High,Thick,Long,Very Friendly,Sedentary,Highly Protective,Moderate Adaptability,Stubborn,Active,Moderate Barker,Moderate,49
gordon_setter,Independent,Large,Medium,8-10 years,Friendly,Very Kid-Friendly,Sociable,Various,High,Moderate,Thick,Long,Reserved,Moderate,Highly Protective,Adaptable,Highly Trainable,Hyperactive,Excessive Barker,Engaged,25
great_dane,Loyal,Large,Medium,9-11 years,Aloof,Kid-Friendly,Neutral,Golden,Heavy,Very High,Curly,Medium,Very Friendly,Very Playful,Alert,Low Adaptability,Independent,Low Energy,Moderate Barker,Relaxed,68
great_pyrenees,Gentle,Medium,Medium,8-10 years,Friendly,Moderate,Pack-Friendly,Golden,High,Moderate,Thick,Long,Cautious,Very Playful,Protective,Moderate Adaptability,Stubborn,Active,Rarely Barks,Moderate,76
groenendael,Independent,Medium,Medium,10-12 years,Reserved,Tolerant,Selective,Golden,Low,Moderate,Short,Short,Very Friendly,Moderate,Highly Protective,Highly Adaptable,Willing,Calm,Rarely Barks,Engaged,84
ibizan_hound,Gentle,Large,Heavy,8-10 years,Neutral,Kid-Friendly,Aggressive,White,Minimal,Very High,Thick,Short,Reserved,Sedentary,Highly Protective,Highly Adaptable,Stubborn,Calm,Moderate Barker,Engaged,69
irish_setter,Energetic,Medium,Heavy,13-15 years,Aloof,Not Child-Friendly,Pack-Friendly,Brown,Low,Moderate,Thick,Medium,Wary,Active,Alert,Rigid,Stubborn,Moderate Energy,Excessive Barker,High Needs,84
irish_terrier,Energetic,Large,Light,13-15 years,Friendly,Not Child-Friendly,Neutral,White,Moderate,High,Curly,Medium,Wary,Moderate,Protective,Moderate Adaptability,Highly Trainable,Calm,Frequent Barker,Relaxed,16
irish_water_spaniel,Friendly,Large,Light,12-14 years,Loving,Very Kid-Friendly,Pack-Friendly,Various,Heavy,Moderate,Short,Long,Approachable,Relaxed,Protective,Rigid,Independent,Moderate Energy,Quiet,Moderate,1
irish_wolfhound,Loyal,Large,Light,12-14 years,Loving,Moderate,Selective,Brown,Heavy,Moderate,Wavy,Medium,Cautious,Moderate,Highly Protective,Low Adaptability,Willing,Calm,Excessive Barker,Relaxed,58
japanese_spaniel,Gentle,Large,Light,8-10 years,Loving,Moderate,Neutral,Golden,Low,High,Wavy,Long,Wary,Relaxed,Moderate,Rigid,Willing,Active,Frequent Barker,Moderate,85
keeshond,Friendly,Medium,Medium,10-12 years,Neutral,Kid-Friendly,Sociable,White,Minimal,Very High,Short,Long,Very Friendly,Relaxed,Protective,Rigid,Stubborn,Moderate Energy,Excessive Barker,High Needs,87
kerry_blue_terrier,Independent,Medium,Light,9-11 years,Aloof,Very Kid-Friendly,Pack-Friendly,White,High,Low,Wavy,Long,Very Friendly,Relaxed,Moderate,Rigid,Stubborn,Hyperactive,Moderate Barker,Relaxed,80
komondor,Gentle,Large,Heavy,13-15 years,Friendly,Moderate,Selective,Various,Minimal,Very High,Short,Short,Cautious,Relaxed,Protective,Highly Adaptable,Willing,Calm,Excessive Barker,Low Needs,49
kuvasz,Energetic,Large,Light,10-12 years,Friendly,Kid-Friendly,Selective,Black,Heavy,Low,Curly,Long,Reserved,Sedentary,Protective,Highly Adaptable,Willing,Moderate Energy,Excessive Barker,Moderate,40
labrador_retriever,Loyal,Large,Medium,12-14 years,Neutral,Very Kid-Friendly,Pack-Friendly,Black,Low,Moderate,Wavy,Short,Approachable,Moderate,Protective,Low Adaptability,Highly Trainable,Moderate Energy,Rarely Barks,Low Needs,62
leonberg,Friendly,Large,Medium,9-11 years,Aloof,Moderate,Neutral,Black,Minimal,Very High,Short,Medium,Approachable,Moderate,Alert,Adaptable,Highly Trainable,Moderate Energy,Moderate Barker,High Needs,84
lhasa,Friendly,Medium,Heavy,13-15 years,Neutral,Tolerant,Sociable,Various,Heavy,Moderate,Straight,Long,Approachable,Sedentary,Protective,Highly Adaptable,Independent,Active,Rarely Barks,Moderate,77
malamute,Loyal,Large,Heavy,10-12 years,Friendly,Kid-Friendly,Pack-Friendly,Brown,Low,Moderate,Straight,Long,Wary,Sedentary,Protective,Rigid,Stubborn,Active,Frequent Barker,Low Needs,66
malinois,Loyal,Medium,Light,12-14 years,Aloof,Very Kid-Friendly,Neutral,Golden,Moderate,Low,Short,Long,Very Friendly,Moderate,Moderate,Highly Adaptable,Highly Trainable,Active,Rarely Barks,Engaged,42
maltese_dog,Friendly,Medium,Heavy,9-11 years,Friendly,Moderate,Neutral,Brown,Minimal,Moderate,Wavy,Short,Reserved,Moderate,Protective,Rigid,Highly Trainable,Hyperactive,Excessive Barker,Low Needs,58
mexican_hairless,Energetic,Large,Heavy,9-11 years,Friendly,Moderate,Selective,Golden,Minimal,Moderate,Straight,Long,Approachable,Active,Highly Protective,Moderate Adaptability,Stubborn,Hyperactive,Rarely Barks,Moderate,84
miniature_pinscher,Loyal,Medium,Heavy,12-14 years,Loving,Kid-Friendly,Neutral,Various,Low,Low,Short,Medium,Very Friendly,Moderate,Protective,Rigid,Willing,Active,Excessive Barker,Moderate,32
miniature_schnauzer,Gentle,Small,Heavy,12-14 years,Aloof,Tolerant,Pack-Friendly,Black,Heavy,Low,Wavy,Short,Very Friendly,Sedentary,Protective,Low Adaptability,Stubborn,Low Energy,Moderate Barker,Relaxed,72
newfoundland,Loyal,Small,Light,9-11 years,Friendly,Not Child-Friendly,Sociable,White,Minimal,Low,Straight,Medium,Very Friendly,Very Playful,Alert,Adaptable,Highly Trainable,Moderate Energy,Moderate Barker,Relaxed,72
norfolk_terrier,Gentle,Small,Heavy,9-11 years,Loving,Not Child-Friendly,Selective,White,Low,High,Straight,Long,Very Friendly,Relaxed,Protective,Moderate Adaptability,Willing,Low Energy,Excessive Barker,Moderate,23
norwegian_elkhound,Independent,Small,Heavy,8-10 years,Loving,Not Child-Friendly,Sociable,Black,Minimal,Very High,Curly,Medium,Approachable,Very Playful,Moderate,Moderate Adaptability,Stubborn,Low Energy,Moderate Barker,Low Needs,16
norwich_terrier,Energetic,Large,Heavy,9-11 years,Reserved,Kid-Friendly,Neutral,Golden,Minimal,Moderate,Thick,Medium,Wary,Active,Protective,Rigid,Independent,Low Energy,Rarely Barks,Engaged,69
old_english_sheepdog,Independent,Medium,Light,10-12 years,Reserved,Kid-Friendly,Selective,Black,Minimal,Very High,Wavy,Short,Very Friendly,Very Playful,Moderate,Low Adaptability,Independent,Active,Quiet,Relaxed,67
otterhound,Loyal,Large,Medium,8-10 years,Loving,Not Child-Friendly,Selective,Golden,Low,Moderate,Thick,Long,Reserved,Active,Alert,Rigid,Independent,Moderate Energy,Moderate Barker,Moderate,38
papillon,Gentle,Medium,Heavy,9-11 years,Aloof,Not Child-Friendly,Aggressive,Golden,Minimal,Low,Curly,Medium,Cautious,Very Playful,Protective,Highly Adaptable,Stubborn,Active,Excessive Barker,Low Needs,76
pekinese,Independent,Small,Light,12-14 years,Neutral,Very Kid-Friendly,Neutral,Black,Heavy,Moderate,Curly,Long,Very Friendly,Active,Moderate,Adaptable,Stubborn,Moderate Energy,Moderate Barker,Relaxed,100
pembroke,Independent,Medium,Light,8-10 years,Aloof,Not Child-Friendly,Selective,Various,High,Very High,Short,Short,Cautious,Sedentary,Indifferent,Highly Adaptable,Willing,Active,Moderate Barker,Moderate,69
pomeranian,Friendly,Large,Heavy,13-15 years,Loving,Very Kid-Friendly,Aggressive,White,High,Moderate,Thick,Short,Wary,Moderate,Protective,Rigid,Willing,Moderate Energy,Frequent Barker,Relaxed,93
pug,Energetic,Large,Light,13-15 years,Aloof,Tolerant,Aggressive,White,Heavy,Low,Wavy,Medium,Very Friendly,Active,Highly Protective,Rigid,Willing,Low Energy,Rarely Barks,High Needs,24
redbone,Friendly,Large,Heavy,12-14 years,Neutral,Kid-Friendly,Sociable,White,High,High,Straight,Medium,Wary,Very Playful,Moderate,Highly Adaptable,Independent,Moderate Energy,Quiet,Relaxed,38
rhodesian_ridgeback,Friendly,Large,Light,13-15 years,Reserved,Moderate,Selective,White,Minimal,Low,Curly,Medium,Wary,Sedentary,Moderate,Rigid,Stubborn,Active,Rarely Barks,High Needs,67
rottweiler,Loyal,Medium,Light,8-10 years,Aloof,Very Kid-Friendly,Selective,Brown,Moderate,Moderate,Straight,Short,Approachable,Active,Moderate,Moderate Adaptability,Independent,Calm,Frequent Barker,High Needs,80
saint_bernard,Loyal,Large,Light,13-15 years,Neutral,Kid-Friendly,Aggressive,White,High,High,Wavy,Medium,Cautious,Sedentary,Protective,Rigid,Independent,Calm,Frequent Barker,Moderate,18
saluki,Energetic,Medium,Light,13-15 years,Aloof,Tolerant,Sociable,Various,Heavy,Very High,Wavy,Long,Reserved,Sedentary,Highly Protective,Moderate Adaptability,Willing,Moderate Energy,Rarely Barks,High Needs,42
samoyed,Loyal,Large,Heavy,8-10 years,Neutral,Kid-Friendly,Selective,Black,Heavy,Moderate,Straight,Medium,Wary,Active,Protective,Adaptable,Stubborn,Moderate Energy,Frequent Barker,Moderate,26
schipperke,Loyal,Small,Heavy,10-12 years,Reserved,Moderate,Aggressive,Brown,Low,Moderate,Straight,Long,Wary,Active,Highly Protective,Rigid,Willing,Moderate Energy,Excessive Barker,High Needs,45
scotch_terrier,Loyal,Medium,Light,12-14 years,Aloof,Tolerant,Sociable,Black,Low,Moderate,Curly,Short,Very Friendly,Relaxed,Highly Protective,Low Adaptability,Highly Trainable,Calm,Excessive Barker,Engaged,52
scottish_deerhound,Energetic,Medium,Medium,12-14 years,Reserved,Not Child-Friendly,Selective,Black,High,High,Straight,Short,Wary,Very Playful,Protective,Adaptable,Highly Trainable,Moderate Energy,Excessive Barker,Moderate,87
sealyham_terrier,Friendly,Medium,Heavy,12-14 years,Aloof,Moderate,Aggressive,Various,Minimal,Moderate,Curly,Medium,Cautious,Sedentary,Protective,Highly Adaptable,Trainable,Low Energy,Quiet,Engaged,27
shetland_sheepdog,Energetic,Medium,Heavy,10-12 years,Reserved,Not Child-Friendly,Sociable,Brown,Low,Low,Short,Long,Very Friendly,Relaxed,Indifferent,Moderate Adaptability,Stubborn,Hyperactive,Moderate Barker,Relaxed,21
standard_poodle,Independent,Small,Heavy,8-10 years,Reserved,Not Child-Friendly,Selective,Golden,Heavy,Moderate,Wavy,Long,Reserved,Relaxed,Alert,Low Adaptability,Stubborn,Active,Moderate Barker,High Needs,40
standard_schnauzer,Loyal,Large,Light,12-14 years,Loving,Very Kid-Friendly,Aggressive,Various,High,Moderate,Curly,Medium,Very Friendly,Relaxed,Alert,Highly Adaptable,Independent,Calm,Quiet,Engaged,32
sussex_spaniel,Friendly,Medium,Heavy,10-12 years,Friendly,Tolerant,Aggressive,Black,Heavy,Moderate,Curly,Short,Cautious,Very Playful,Alert,Low Adaptability,Independent,Active,Moderate Barker,Relaxed,100
tibetan_mastiff,Friendly,Large,Heavy,9-11 years,Loving,Tolerant,Sociable,Black,Moderate,Low,Straight,Medium,Cautious,Relaxed,Moderate,Adaptable,Stubborn,Active,Quiet,Engaged,45
tibetan_terrier,Gentle,Large,Light,13-15 years,Reserved,Tolerant,Sociable,Brown,Minimal,Moderate,Short,Short,Cautious,Very Playful,Indifferent,Rigid,Highly Trainable,Moderate Energy,Frequent Barker,Low Needs,3
toy_terrier,Independent,Medium,Medium,9-11 years,Loving,Tolerant,Sociable,White,Low,Moderate,Short,Short,Very Friendly,Moderate,Protective,Moderate Adaptability,Willing,Moderate Energy,Rarely Barks,Moderate,49
vizsla,Independent,Medium,Light,12-14 years,Reserved,Not Child-Friendly,Aggressive,Golden,Minimal,Moderate,Thick,Medium,Cautious,Sedentary,Highly Protective,Rigid,Stubborn,Moderate Energy,Excessive Barker,High Needs,93
weimaraner,Energetic,Small,Heavy,9-11 years,Aloof,Not Child-Friendly,Selective,Golden,Moderate,High,Straight,Long,Approachable,Moderate,Protective,Adaptable,Willing,Hyperactive,Excessive Barker,Engaged,98
whippet,Gentle,Medium,Heavy,13-15 years,Neutral,Kid-Friendly,Selective,Black,Moderate,Very High,Straight,Long,Reserved,Very Playful,Protective,Highly Adaptable,Independent,Moderate Energy,Quiet,Moderate,65
wire-haired_fox_terrier,Friendly,Large,Light,9-11 years,Neutral,Tolerant,Neutral,White,Low,Very High,Straight,Short,Very Friendly,Moderate,Protective,Low Adaptability,Stubborn,Hyperactive,Excessive Barker,Moderate,33
yorkshire_terrier,Loyal,Medium,Heavy,10-12 years,Reserved,Very Kid-Friendly,Selective,Brown,Heavy,Low,Curly,Long,Wary,Active,Alert,Adaptable,Independent,Moderate Energy,Rarely Barks,Engaged,42
